,county_code,city_town_code,ward_number,precinct_number,precinct_label,G20PRERTRU,G20PREDBID,G20PRENDEL,G20USSNDER,G20USSTWIL,G20PRETBLA,G20PRELJOR,G20PREGHAW,G20USSGSQU,G20USSDPET,G20USSRJAM,COUNTYFIPS,city_town_name_x,join_id,Summary Level,State Code (FIPS),County Code (FIPS),County Subdivision Code (FIPS),Place Code (FIPS),Consolidtated City Code (FIPS),Area Name (including legal/statistical area description),city_town_name_y,_merge
2651,63,24,0,2,,749.0,445.0,1.0,7.0,10.0,0.0,15.0,1.0,11.0,419.0,755.0,125,MILFORD TOWNSHIP,125-MILFORD TOWNSHIP,,,,,,,,,left_only
2652,63,24,0,3,,971.0,627.0,0.0,0.0,4.0,1.0,9.0,4.0,7.0,587.0,1002.0,125,MILFORD TOWNSHIP,125-MILFORD TOWNSHIP,,,,,,,,,left_only
2653,63,24,0,4,,747.0,485.0,2.0,4.0,5.0,1.0,18.0,4.0,9.0,465.0,758.0,125,MILFORD TOWNSHIP,125-MILFORD TOWNSHIP,,,,,,,,,left_only
2654,63,24,0,5,,723.0,542.0,0.0,1.0,6.0,2.0,21.0,3.0,10.0,496.0,754.0,125,MILFORD TOWNSHIP,125-MILFORD TOWNSHIP,,,,,,,,,left_only
2655,63,24,0,6,,712.0,761.0,0.0,2.0,7.0,1.0,12.0,1.0,7.0,711.0,752.0,125,MILFORD TOWNSHIP,125-MILFORD TOWNSHIP,,,,,,,,,left_only
2656,63,24,0,7,,881.0,904.0,0.0,3.0,16.0,3.0,19.0,6.0,11.0,852.0,916.0,125,MILFORD TOWNSHIP,125-MILFORD TOWNSHIP,,,,,,,,,left_only
2657,63,24,0,8,,579.0,579.0,0.0,0.0,5.0,1.0,14.0,4.0,6.0,564.0,592.0,125,MILFORD TOWNSHIP,125-MILFORD TOWNSHIP,,,,,,,,,left_only
2659,63,28,0,1,,957.0,721.0,2.0,3.0,3.0,0.0,10.0,2.0,3.0,660.0,1003.0,125,OAKLAND TOWNSHIP,125-OAKLAND TOWNSHIP,,,,,,,,,left_only
2660,63,28,0,2,,1079.0,717.0,1.0,3.0,9.0,2.0,15.0,4.0,13.0,711.0,1065.0,125,OAKLAND TOWNSHIP,125-OAKLAND TOWNSHIP,,,,,,,,,left_only
2661,63,28,0,3,,670.0,371.0,0.0,1.0,3.0,1.0,4.0,0.0,3.0,330.0,704.0,125,OAKLAND TOWNSHIP,125-OAKLAND TOWNSHIP,,,,,,,,,left_only
2662,63,28,0,4,,839.0,523.0,0.0,1.0,2.0,0.0,12.0,3.0,8.0,473.0,884.0,125,OAKLAND TOWNSHIP,125-OAKLAND TOWNSHIP,,,,,,,,,left_only
2663,63,28,0,5,,842.0,911.0,0.0,1.0,1.0,3.0,18.0,7.0,4.0,850.0,915.0,125,OAKLAND TOWNSHIP,125-OAKLAND TOWNSHIP,,,,,,,,,left_only
2664,63,28,0,6,,1153.0,675.0,1.0,1.0,3.0,0.0,18.0,3.0,7.0,622.0,1205.0,125,OAKLAND TOWNSHIP,125-OAKLAND TOWNSHIP,,,,,,,,,left_only
2665,63,28,0,7,,1300.0,873.0,0.0,0.0,4.0,0.0,13.0,2.0,5.0,777.0,1398.0,125,OAKLAND TOWNSHIP,125-OAKLAND TOWNSHIP,,,,,,,,,left_only
2666,63,28,0,8,,779.0,550.0,0.0,0.0,3.0,0.0,13.0,2.0,7.0,507.0,824.0,125,OAKLAND TOWNSHIP,125-OAKLAND TOWNSHIP,,,,,,,,,left_only
2667,63,30,0,1,,929.0,691.0,0.0,2.0,10.0,6.0,27.0,3.0,8.0,656.0,952.0,125,ORION TOWNSHIP,125-ORION TOWNSHIP,,,,,,,,,left_only
2668,63,30,0,2,,1017.0,721.0,2.0,9.0,12.0,6.0,26.0,10.0,23.0,713.0,1008.0,125,ORION TOWNSHIP,125-ORION TOWNSHIP,,,,,,,,,left_only
2669,63,30,0,3,,990.0,668.0,1.0,3.0,10.0,1.0,21.0,2.0,6.0,648.0,998.0,125,ORION TOWNSHIP,125-ORION TOWNSHIP,,,,,,,,,left_only
2670,63,30,0,4,,1165.0,718.0,0.0,2.0,8.0,2.0,27.0,4.0,12.0,686.0,1189.0,125,ORION TOWNSHIP,125-ORION TOWNSHIP,,,,,,,,,left_only
2671,63,30,0,5,,1051.0,843.0,0.0,2.0,6.0,0.0,27.0,6.0,13.0,774.0,1100.0,125,ORION TOWNSHIP,125-ORION TOWNSHIP,,,,,,,,,left_only
2672,63,30,0,6,,833.0,677.0,1.0,2.0,2.0,1.0,21.0,3.0,11.0,649.0,861.0,125,ORION TOWNSHIP,125-ORION TOWNSHIP,,,,,,,,,left_only
2673,63,30,0,7,,862.0,715.0,1.0,2.0,12.0,2.0,21.0,4.0,5.0,710.0,852.0,125,ORION TOWNSHIP,125-ORION TOWNSHIP,,,,,,,,,left_only
2674,63,30,0,8,,780.0,728.0,0.0,1.0,13.0,0.0,22.0,4.0,5.0,666.0,830.0,125,ORION TOWNSHIP,125-ORION TOWNSHIP,,,,,,,,,left_only
2675,63,30,0,9,,1017.0,963.0,1.0,1.0,6.0,1.0,35.0,2.0,12.0,904.0,1074.0,125,ORION TOWNSHIP,125-ORION TOWNSHIP,,,,,,,,,left_only
2676,63,30,0,10,,709.0,617.0,0.0,3.0,4.0,1.0,19.0,5.0,5.0,587.0,736.0,125,ORION TOWNSHIP,125-ORION TOWNSHIP,,,,,,,,,left_only
2677,63,30,0,11,,605.0,444.0,0.0,2.0,9.0,1.0,16.0,3.0,5.0,438.0,589.0,125,ORION TOWNSHIP,125-ORION TOWNSHIP,,,,,,,,,left_only
2678,63,30,0,12,,843.0,733.0,2.0,2.0,13.0,2.0,22.0,2.0,13.0,700.0,855.0,125,ORION TOWNSHIP,125-ORION TOWNSHIP,,,,,,,,,left_only
2679,63,30,0,13,,845.0,729.0,0.0,2.0,13.0,1.0,38.0,3.0,14.0,678.0,881.0,125,ORION TOWNSHIP,125-ORION TOWNSHIP,,,,,,,,,left_only
2680,63,30,0,14,,572.0,523.0,0.0,2.0,6.0,0.0,16.0,2.0,5.0,493.0,596.0,125,ORION TOWNSHIP,125-ORION TOWNSHIP,,,,,,,,,left_only
2681,63,30,0,15,,780.0,757.0,0.0,3.0,5.0,1.0,10.0,3.0,8.0,700.0,812.0,125,ORION TOWNSHIP,125-ORION TOWNSHIP,,,,,,,,,left_only
2682,63,32,0,1,,1156.0,875.0,0.0,2.0,14.0,1.0,25.0,4.0,16.0,821.0,1176.0,125,OXFORD TOWNSHIP,125-OXFORD TOWNSHIP,,,,,,,,,left_only
2683,63,32,0,2,,971.0,585.0,1.0,6.0,17.0,3.0,24.0,5.0,16.0,591.0,934.0,125,OXFORD TOWNSHIP,125-OXFORD TOWNSHIP,,,,,,,,,left_only
2684,63,32,0,3,,1336.0,852.0,0.0,5.0,12.0,6.0,41.0,6.0,11.0,798.0,1388.0,125,OXFORD TOWNSHIP,125-OXFORD TOWNSHIP,,,,,,,,,left_only
2685,63,32,0,4,,1312.0,739.0,2.0,2.0,11.0,3.0,27.0,5.0,9.0,712.0,1323.0,125,OXFORD TOWNSHIP,125-OXFORD TOWNSHIP,,,,,,,,,left_only
2686,63,32,0,5,,816.0,569.0,0.0,1.0,17.0,1.0,15.0,4.0,12.0,547.0,811.0,125,OXFORD TOWNSHIP,125-OXFORD TOWNSHIP,,,,,,,,,left_only
2687,63,32,0,6,,1273.0,589.0,0.0,4.0,8.0,1.0,27.0,4.0,6.0,578.0,1268.0,125,OXFORD TOWNSHIP,125-OXFORD TOWNSHIP,,,,,,,,,left_only
2688,63,32,0,7,,1371.0,901.0,2.0,1.0,9.0,1.0,21.0,3.0,11.0,848.0,1403.0,125,OXFORD TOWNSHIP,125-OXFORD TOWNSHIP,,,,,,,,,left_only
2692,63,38,0,1,,33.0,724.0,2.0,1.0,14.0,0.0,1.0,4.0,13.0,702.0,33.0,125,ROYAL OAK TOWNSHIP,125-ROYAL OAK TOWNSHIP,,,,,,,,,left_only
2693,63,38,0,2,,14.0,636.0,0.0,2.0,8.0,0.0,0.0,3.0,7.0,618.0,16.0,125,ROYAL OAK TOWNSHIP,125-ROYAL OAK TOWNSHIP,,,,,,,,,left_only
2704,63,42,0,1,,855.0,493.0,0.0,1.0,11.0,2.0,11.0,1.0,7.0,464.0,867.0,125,SPRINGFIELD TOWNSHIP,125-SPRINGFIELD TOWNSHIP,,,,,,,,,left_only
2705,63,42,0,2,,868.0,532.0,0.0,0.0,12.0,0.0,13.0,3.0,14.0,507.0,869.0,125,SPRINGFIELD TOWNSHIP,125-SPRINGFIELD TOWNSHIP,,,,,,,,,left_only
2706,63,42,0,3,,1144.0,590.0,0.0,6.0,10.0,0.0,29.0,1.0,13.0,585.0,1128.0,125,SPRINGFIELD TOWNSHIP,125-SPRINGFIELD TOWNSHIP,,,,,,,,,left_only
2707,63,42,0,4,,723.0,486.0,0.0,0.0,13.0,2.0,11.0,4.0,6.0,483.0,708.0,125,SPRINGFIELD TOWNSHIP,125-SPRINGFIELD TOWNSHIP,,,,,,,,,left_only
2708,63,42,0,5,,989.0,583.0,0.0,0.0,3.0,1.0,14.0,2.0,7.0,543.0,1028.0,125,SPRINGFIELD TOWNSHIP,125-SPRINGFIELD TOWNSHIP,,,,,,,,,left_only
2709,63,42,0,6,,850.0,605.0,0.0,1.0,8.0,3.0,13.0,2.0,10.0,569.0,871.0,125,SPRINGFIELD TOWNSHIP,125-SPRINGFIELD TOWNSHIP,,,,,,,,,left_only
2710,63,42,0,7,,511.0,271.0,0.0,1.0,4.0,1.0,16.0,1.0,6.0,254.0,525.0,125,SPRINGFIELD TOWNSHIP,125-SPRINGFIELD TOWNSHIP,,,,,,,,,left_only
2711,63,44,0,1,,450.0,304.0,0.0,0.0,6.0,0.0,11.0,3.0,7.0,289.0,455.0,125,WATERFORD TOWNSHIP,125-WATERFORD TOWNSHIP,,,,,,,,,left_only
2712,63,44,0,2,,1300.0,960.0,3.0,3.0,25.0,10.0,33.0,7.0,13.0,951.0,1277.0,125,WATERFORD TOWNSHIP,125-WATERFORD TOWNSHIP,,,,,,,,,left_only
2713,63,44,0,3,,1168.0,896.0,0.0,5.0,16.0,3.0,27.0,5.0,10.0,898.0,1131.0,125,WATERFORD TOWNSHIP,125-WATERFORD TOWNSHIP,,,,,,,,,left_only
2714,63,44,0,4,,1257.0,793.0,0.0,3.0,24.0,4.0,19.0,1.0,9.0,821.0,1186.0,125,WATERFORD TOWNSHIP,125-WATERFORD TOWNSHIP,,,,,,,,,left_only
2715,63,44,0,5,,1386.0,1041.0,2.0,4.0,18.0,3.0,26.0,7.0,14.0,1013.0,1388.0,125,WATERFORD TOWNSHIP,125-WATERFORD TOWNSHIP,,,,,,,,,left_only
2716,63,44,0,6,,1201.0,915.0,2.0,2.0,18.0,2.0,24.0,7.0,20.0,926.0,1156.0,125,WATERFORD TOWNSHIP,125-WATERFORD TOWNSHIP,,,,,,,,,left_only
2717,63,44,0,7,,1158.0,927.0,1.0,7.0,30.0,1.0,22.0,3.0,11.0,904.0,1125.0,125,WATERFORD TOWNSHIP,125-WATERFORD TOWNSHIP,,,,,,,,,left_only
2718,63,44,0,8,,1121.0,827.0,3.0,5.0,25.0,6.0,31.0,4.0,15.0,853.0,1072.0,125,WATERFORD TOWNSHIP,125-WATERFORD TOWNSHIP,,,,,,,,,left_only
2719,63,44,0,9,,1177.0,943.0,0.0,7.0,18.0,4.0,17.0,5.0,14.0,936.0,1153.0,125,WATERFORD TOWNSHIP,125-WATERFORD TOWNSHIP,,,,,,,,,left_only
2720,63,44,0,10,,711.0,537.0,1.0,3.0,9.0,3.0,19.0,1.0,7.0,525.0,717.0,125,WATERFORD TOWNSHIP,125-WATERFORD TOWNSHIP,,,,,,,,,left_only
2721,63,44,0,11,,906.0,985.0,0.0,6.0,21.0,6.0,23.0,8.0,24.0,978.0,860.0,125,WATERFORD TOWNSHIP,125-WATERFORD TOWNSHIP,,,,,,,,,left_only
2722,63,44,0,12,,1108.0,1006.0,1.0,3.0,30.0,7.0,19.0,12.0,16.0,1015.0,1072.0,125,WATERFORD TOWNSHIP,125-WATERFORD TOWNSHIP,,,,,,,,,left_only
2723,63,44,0,13,,1141.0,975.0,2.0,7.0,29.0,2.0,28.0,5.0,18.0,981.0,1097.0,125,WATERFORD TOWNSHIP,125-WATERFORD TOWNSHIP,,,,,,,,,left_only
2724,63,44,0,14,,861.0,979.0,1.0,5.0,20.0,3.0,17.0,4.0,18.0,981.0,818.0,125,WATERFORD TOWNSHIP,125-WATERFORD TOWNSHIP,,,,,,,,,left_only
2725,63,44,0,15,,885.0,1139.0,2.0,7.0,25.0,3.0,28.0,10.0,29.0,1134.0,833.0,125,WATERFORD TOWNSHIP,125-WATERFORD TOWNSHIP,,,,,,,,,left_only
2726,63,44,0,16,,1380.0,1023.0,1.0,6.0,18.0,2.0,30.0,4.0,18.0,1018.0,1342.0,125,WATERFORD TOWNSHIP,125-WATERFORD TOWNSHIP,,,,,,,,,left_only
2727,63,44,0,17,,1103.0,1006.0,0.0,2.0,18.0,0.0,34.0,6.0,26.0,1003.0,1073.0,125,WATERFORD TOWNSHIP,125-WATERFORD TOWNSHIP,,,,,,,,,left_only
2728,63,44,0,18,,927.0,873.0,1.0,7.0,20.0,3.0,17.0,2.0,8.0,838.0,927.0,125,WATERFORD TOWNSHIP,125-WATERFORD TOWNSHIP,,,,,,,,,left_only
2729,63,44,0,19,,1033.0,959.0,1.0,4.0,12.0,4.0,22.0,11.0,19.0,960.0,1016.0,125,WATERFORD TOWNSHIP,125-WATERFORD TOWNSHIP,,,,,,,,,left_only
2730,63,44,0,20,,1184.0,1047.0,1.0,10.0,11.0,1.0,29.0,9.0,27.0,1033.0,1157.0,125,WATERFORD TOWNSHIP,125-WATERFORD TOWNSHIP,,,,,,,,,left_only
2731,63,44,0,21,,1004.0,951.0,0.0,6.0,26.0,2.0,31.0,2.0,19.0,934.0,976.0,125,WATERFORD TOWNSHIP,125-WATERFORD TOWNSHIP,,,,,,,,,left_only
2732,63,46,0,1,,676.0,1190.0,1.0,1.0,8.0,0.0,14.0,4.0,5.0,1176.0,672.0,125,WEST BLOOMFIELD TOWNSHIP,125-WEST BLOOMFIELD TOWNSHIP,,,,,,,,,left_only
2733,63,46,0,2,,1054.0,893.0,1.0,3.0,11.0,0.0,15.0,5.0,15.0,852.0,1072.0,125,WEST BLOOMFIELD TOWNSHIP,125-WEST BLOOMFIELD TOWNSHIP,,,,,,,,,left_only
2734,63,46,0,3,,410.0,486.0,0.0,2.0,5.0,1.0,3.0,1.0,4.0,486.0,400.0,125,WEST BLOOMFIELD TOWNSHIP,125-WEST BLOOMFIELD TOWNSHIP,,,,,,,,,left_only
2735,63,46,0,4,,809.0,1119.0,0.0,3.0,10.0,2.0,30.0,5.0,9.0,1072.0,854.0,125,WEST BLOOMFIELD TOWNSHIP,125-WEST BLOOMFIELD TOWNSHIP,,,,,,,,,left_only
2736,63,46,0,5,,878.0,1042.0,0.0,1.0,13.0,4.0,12.0,4.0,11.0,1013.0,891.0,125,WEST BLOOMFIELD TOWNSHIP,125-WEST BLOOMFIELD TOWNSHIP,,,,,,,,,left_only
2737,63,46,0,6,,661.0,993.0,0.0,1.0,7.0,0.0,2.0,5.0,3.0,968.0,672.0,125,WEST BLOOMFIELD TOWNSHIP,125-WEST BLOOMFIELD TOWNSHIP,,,,,,,,,left_only
2738,63,46,0,7,,445.0,874.0,1.0,1.0,3.0,0.0,8.0,5.0,11.0,865.0,445.0,125,WEST BLOOMFIELD TOWNSHIP,125-WEST BLOOMFIELD TOWNSHIP,,,,,,,,,left_only
2739,63,46,0,8,,935.0,1141.0,0.0,0.0,7.0,1.0,18.0,4.0,9.0,1071.0,1005.0,125,WEST BLOOMFIELD TOWNSHIP,125-WEST BLOOMFIELD TOWNSHIP,,,,,,,,,left_only
2740,63,46,0,9,,477.0,995.0,1.0,2.0,10.0,1.0,16.0,2.0,6.0,974.0,479.0,125,WEST BLOOMFIELD TOWNSHIP,125-WEST BLOOMFIELD TOWNSHIP,,,,,,,,,left_only
2741,63,46,0,10,,765.0,1329.0,0.0,1.0,1.0,0.0,17.0,7.0,10.0,1275.0,834.0,125,WEST BLOOMFIELD TOWNSHIP,125-WEST BLOOMFIELD TOWNSHIP,,,,,,,,,left_only
2742,63,46,0,11,,597.0,1172.0,1.0,1.0,7.0,0.0,9.0,3.0,16.0,1153.0,589.0,125,WEST BLOOMFIELD TOWNSHIP,125-WEST BLOOMFIELD TOWNSHIP,,,,,,,,,left_only
2743,63,46,0,12,,540.0,1411.0,0.0,0.0,6.0,0.0,8.0,1.0,8.0,1369.0,553.0,125,WEST BLOOMFIELD TOWNSHIP,125-WEST BLOOMFIELD TOWNSHIP,,,,,,,,,left_only
2744,63,46,0,13,,564.0,1168.0,0.0,2.0,3.0,0.0,4.0,6.0,9.0,1113.0,601.0,125,WEST BLOOMFIELD TOWNSHIP,125-WEST BLOOMFIELD TOWNSHIP,,,,,,,,,left_only
2745,63,46,0,14,,791.0,692.0,1.0,4.0,11.0,2.0,21.0,2.0,9.0,667.0,806.0,125,WEST BLOOMFIELD TOWNSHIP,125-WEST BLOOMFIELD TOWNSHIP,,,,,,,,,left_only
2746,63,46,0,15,,793.0,1451.0,0.0,4.0,11.0,1.0,12.0,3.0,8.0,1430.0,790.0,125,WEST BLOOMFIELD TOWNSHIP,125-WEST BLOOMFIELD TOWNSHIP,,,,,,,,,left_only
2747,63,46,0,16,,860.0,1153.0,1.0,2.0,2.0,3.0,12.0,4.0,10.0,1108.0,886.0,125,WEST BLOOMFIELD TOWNSHIP,125-WEST BLOOMFIELD TOWNSHIP,,,,,,,,,left_only
2748,63,46,0,17,,638.0,1262.0,2.0,3.0,0.0,1.0,7.0,1.0,3.0,1221.0,677.0,125,WEST BLOOMFIELD TOWNSHIP,125-WEST BLOOMFIELD TOWNSHIP,,,,,,,,,left_only
2749,63,46,0,18,,713.0,824.0,0.0,1.0,2.0,0.0,4.0,0.0,3.0,811.0,714.0,125,WEST BLOOMFIELD TOWNSHIP,125-WEST BLOOMFIELD TOWNSHIP,,,,,,,,,left_only
2750,63,46,0,19,,473.0,1214.0,0.0,2.0,4.0,0.0,11.0,1.0,5.0,1194.0,479.0,125,WEST BLOOMFIELD TOWNSHIP,125-WEST BLOOMFIELD TOWNSHIP,,,,,,,,,left_only
2751,63,46,0,20,,434.0,713.0,0.0,0.0,4.0,1.0,5.0,2.0,8.0,686.0,442.0,125,WEST BLOOMFIELD TOWNSHIP,125-WEST BLOOMFIELD TOWNSHIP,,,,,,,,,left_only
2752,63,46,0,21,,544.0,898.0,0.0,2.0,2.0,1.0,8.0,2.0,10.0,883.0,546.0,125,WEST BLOOMFIELD TOWNSHIP,125-WEST BLOOMFIELD TOWNSHIP,,,,,,,,,left_only
2753,63,46,0,22,,849.0,1271.0,1.0,2.0,10.0,0.0,6.0,1.0,9.0,1251.0,852.0,125,WEST BLOOMFIELD TOWNSHIP,125-WEST BLOOMFIELD TOWNSHIP,,,,,,,,,left_only
2754,63,46,0,23,,1054.0,1332.0,0.0,0.0,13.0,0.0,11.0,2.0,9.0,1309.0,1041.0,125,WEST BLOOMFIELD TOWNSHIP,125-WEST BLOOMFIELD TOWNSHIP,,,,,,,,,left_only
2755,63,46,0,24,,816.0,785.0,0.0,2.0,8.0,0.0,5.0,1.0,2.0,764.0,818.0,125,WEST BLOOMFIELD TOWNSHIP,125-WEST BLOOMFIELD TOWNSHIP,,,,,,,,,left_only
2756,63,46,0,25,,835.0,960.0,0.0,3.0,8.0,2.0,16.0,3.0,8.0,907.0,876.0,125,WEST BLOOMFIELD TOWNSHIP,125-WEST BLOOMFIELD TOWNSHIP,,,,,,,,,left_only
2757,63,48,0,1,,1090.0,836.0,1.0,4.0,12.0,2.0,22.0,4.0,13.0,794.0,1097.0,125,WHITE LAKE TOWNSHIP,125-WHITE LAKE TOWNSHIP,,,,,,,,,left_only
2758,63,48,0,2,,1128.0,670.0,3.0,8.0,20.0,3.0,19.0,6.0,15.0,630.0,1145.0,125,WHITE LAKE TOWNSHIP,125-WHITE LAKE TOWNSHIP,,,,,,,,,left_only
2759,63,48,0,3,,694.0,470.0,1.0,3.0,8.0,1.0,22.0,3.0,5.0,438.0,722.0,125,WHITE LAKE TOWNSHIP,125-WHITE LAKE TOWNSHIP,,,,,,,,,left_only
2760,63,48,0,4,,580.0,323.0,0.0,1.0,0.0,0.0,14.0,2.0,6.0,315.0,590.0,125,WHITE LAKE TOWNSHIP,125-WHITE LAKE TOWNSHIP,,,,,,,,,left_only
2761,63,48,0,5,,1051.0,789.0,2.0,1.0,14.0,3.0,25.0,2.0,11.0,768.0,1055.0,125,WHITE LAKE TOWNSHIP,125-WHITE LAKE TOWNSHIP,,,,,,,,,left_only
2762,63,48,0,6,,1261.0,823.0,1.0,7.0,26.0,2.0,14.0,6.0,11.0,815.0,1207.0,125,WHITE LAKE TOWNSHIP,125-WHITE LAKE TOWNSHIP,,,,,,,,,left_only
2763,63,48,0,7,,897.0,598.0,1.0,3.0,11.0,2.0,14.0,10.0,9.0,586.0,890.0,125,WHITE LAKE TOWNSHIP,125-WHITE LAKE TOWNSHIP,,,,,,,,,left_only
2764,63,48,0,8,,1138.0,729.0,1.0,7.0,27.0,1.0,22.0,6.0,17.0,714.0,1109.0,125,WHITE LAKE TOWNSHIP,125-WHITE LAKE TOWNSHIP,,,,,,,,,left_only
2765,63,48,0,9,,931.0,678.0,0.0,3.0,11.0,2.0,28.0,6.0,17.0,658.0,926.0,125,WHITE LAKE TOWNSHIP,125-WHITE LAKE TOWNSHIP,,,,,,,,,left_only
2766,63,48,0,10,,1042.0,687.0,2.0,8.0,20.0,3.0,11.0,7.0,15.0,659.0,1025.0,125,WHITE LAKE TOWNSHIP,125-WHITE LAKE TOWNSHIP,,,,,,,,,left_only
2767,63,48,0,11,,1212.0,695.0,1.0,6.0,17.0,2.0,22.0,1.0,12.0,688.0,1186.0,125,WHITE LAKE TOWNSHIP,125-WHITE LAKE TOWNSHIP,,,,,,,,,left_only
2768,63,48,0,12,,633.0,529.0,1.0,1.0,11.0,1.0,7.0,2.0,8.0,499.0,631.0,125,WHITE LAKE TOWNSHIP,125-WHITE LAKE TOWNSHIP,,,,,,,,,left_only
2796,63,55,0,1,,334.0,309.0,1.0,2.0,4.0,2.0,12.0,2.0,6.0,292.0,351.0,125,CLARKSTON CITY,125-CLARKSTON CITY,,,,,,,,,left_only
3110,65,52,0,1,,170.0,67.0,0.0,2.0,1.0,0.0,6.0,1.0,1.0,75.0,164.0,129,ROSE CITY,129-ROSE CITY,,,,,,,,,left_only
3141,67,54,0,1,,715.0,367.0,0.0,6.0,10.0,2.0,22.0,3.0,4.0,357.0,721.0,133,REED CITY,133-REED CITY,,,,,,,,,left_only
3162,70,2,0,1,,1508.0,658.0,1.0,2.0,10.0,2.0,35.0,3.0,10.0,596.0,1579.0,139,ALLENDALE TOWNSHIP,139-ALLENDALE TOWNSHIP,,,,,,,,,left_only
3163,70,2,0,2,,1322.0,645.0,3.0,0.0,19.0,0.0,47.0,5.0,13.0,610.0,1369.0,139,ALLENDALE TOWNSHIP,139-ALLENDALE TOWNSHIP,,,,,,,,,left_only
3164,70,2,0,3,,1770.0,648.0,0.0,2.0,17.0,7.0,39.0,3.0,17.0,599.0,1810.0,139,ALLENDALE TOWNSHIP,139-ALLENDALE TOWNSHIP,,,,,,,,,left_only
3165,70,2,0,4,,1048.0,761.0,4.0,4.0,15.0,0.0,41.0,8.0,19.0,704.0,1101.0,139,ALLENDALE TOWNSHIP,139-ALLENDALE TOWNSHIP,,,,,,,,,left_only
3166,70,2,0,5,,422.0,767.0,0.0,1.0,4.0,1.0,16.0,2.0,18.0,695.0,465.0,139,ALLENDALE TOWNSHIP,139-ALLENDALE TOWNSHIP,,,,,,,,,left_only
3173,70,10,0,1,,1298.0,769.0,0.0,4.0,2.0,3.0,25.0,3.0,10.0,671.0,1389.0,139,GEORGETOWN TOWNSHIP,139-GEORGETOWN TOWNSHIP,,,,,,,,,left_only
3174,70,10,0,2,,1525.0,744.0,3.0,3.0,10.0,4.0,25.0,3.0,4.0,686.0,1602.0,139,GEORGETOWN TOWNSHIP,139-GEORGETOWN TOWNSHIP,,,,,,,,,left_only
3175,70,10,0,3,,1117.0,605.0,2.0,2.0,7.0,3.0,17.0,3.0,4.0,517.0,1212.0,139,GEORGETOWN TOWNSHIP,139-GEORGETOWN TOWNSHIP,,,,,,,,,left_only
3176,70,10,0,4,,1278.0,687.0,2.0,2.0,5.0,3.0,28.0,5.0,14.0,625.0,1338.0,139,GEORGETOWN TOWNSHIP,139-GEORGETOWN TOWNSHIP,,,,,,,,,left_only
3177,70,10,0,5,,1261.0,735.0,3.0,2.0,7.0,2.0,35.0,2.0,9.0,661.0,1349.0,139,GEORGETOWN TOWNSHIP,139-GEORGETOWN TOWNSHIP,,,,,,,,,left_only
3178,70,10,0,6,,1318.0,531.0,2.0,2.0,10.0,1.0,21.0,4.0,8.0,482.0,1348.0,139,GEORGETOWN TOWNSHIP,139-GEORGETOWN TOWNSHIP,,,,,,,,,left_only
3179,70,10,0,7,,1175.0,514.0,1.0,4.0,7.0,3.0,24.0,5.0,7.0,447.0,1260.0,139,GEORGETOWN TOWNSHIP,139-GEORGETOWN TOWNSHIP,,,,,,,,,left_only
3180,70,10,0,8,,1744.0,880.0,1.0,4.0,7.0,1.0,38.0,5.0,15.0,756.0,1889.0,139,GEORGETOWN TOWNSHIP,139-GEORGETOWN TOWNSHIP,,,,,,,,,left_only
3181,70,10,0,9,,1259.0,668.0,3.0,3.0,3.0,1.0,26.0,4.0,10.0,631.0,1306.0,139,GEORGETOWN TOWNSHIP,139-GEORGETOWN TOWNSHIP,,,,,,,,,left_only
3182,70,10,0,10,,1184.0,603.0,0.0,2.0,12.0,7.0,25.0,2.0,9.0,562.0,1234.0,139,GEORGETOWN TOWNSHIP,139-GEORGETOWN TOWNSHIP,,,,,,,,,left_only
3183,70,10,0,11,,1338.0,677.0,1.0,5.0,8.0,5.0,24.0,1.0,4.0,641.0,1385.0,139,GEORGETOWN TOWNSHIP,139-GEORGETOWN TOWNSHIP,,,,,,,,,left_only
3184,70,10,0,12,,1382.0,641.0,0.0,0.0,5.0,3.0,36.0,4.0,8.0,567.0,1483.0,139,GEORGETOWN TOWNSHIP,139-GEORGETOWN TOWNSHIP,,,,,,,,,left_only
3185,70,10,0,13,,1497.0,677.0,0.0,0.0,12.0,7.0,37.0,2.0,13.0,591.0,1599.0,139,GEORGETOWN TOWNSHIP,139-GEORGETOWN TOWNSHIP,,,,,,,,,left_only
3186,70,10,0,14,,1459.0,474.0,0.0,2.0,6.0,2.0,16.0,5.0,1.0,434.0,1522.0,139,GEORGETOWN TOWNSHIP,139-GEORGETOWN TOWNSHIP,,,,,,,,,left_only
3187,70,10,0,15,,1475.0,654.0,2.0,3.0,16.0,1.0,15.0,3.0,7.0,615.0,1503.0,139,GEORGETOWN TOWNSHIP,139-GEORGETOWN TOWNSHIP,,,,,,,,,left_only
3188,70,10,0,16,,1139.0,635.0,2.0,1.0,7.0,3.0,31.0,4.0,10.0,585.0,1202.0,139,GEORGETOWN TOWNSHIP,139-GEORGETOWN TOWNSHIP,,,,,,,,,left_only
3189,70,10,0,17,,428.0,164.0,0.0,1.0,3.0,0.0,4.0,3.0,4.0,149.0,443.0,139,GEORGETOWN TOWNSHIP,139-GEORGETOWN TOWNSHIP,,,,,,,,,left_only
3190,70,12,0,1,,1138.0,897.0,0.0,3.0,17.0,2.0,37.0,2.0,14.0,823.0,1205.0,139,GRAND HAVEN TOWNSHIP,139-GRAND HAVEN TOWNSHIP,,,,,,,,,left_only
